"id","title","title_japanese","type","source","episodes","status","aired_from","aired_to","score","scored_by","rank","popularity","members","favorites","rating","duration","year","season","genres","studios","image_url","synopsis"
"1735","NARUTO: Shippuuden","NARUTO -ナルト- 疾風伝","TV","MANGA","500","FINISHED","2007-02-15","2017-03-23","8.2","","26","591297","","46038","","23","2007","WINTER","Action, Adventure, Comedy, Drama, Fantasy, Supernatural","Studio Pierrot","https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx1735-kGfVm0YqCPcu.png","Naruto: Shippuuden is the continuation of the original animated TV series Naruto. The story revolves around an older and slightly more matured Uzumaki Naruto and his quest to save his friend Uchiha Sasuke from the grips of the snake-like Shinobi, Orochimaru. After 2 and a half years Naruto finally returns to his village of Konoha, and sets about putting his ambitions to work, though it will not be easy, as he has amassed a few (more dangerous) enemies, in the likes of the shinobi organization; A"
"21234","Boku dake ga Inai Machi","僕だけがいない街","TV","MANGA","12","FINISHED","2016-01-08","2016-03-25","8.1","","27","589576","","26613","","23","2016","WINTER","Drama, Mystery, Psychological, Supernatural, Thriller","A-1 Pictures","https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx21234-XmqW39aQ9o7O.jpg","Satoru Fujinuma is a 29 year old manga artist struggling to make a name for himself following his debut. But, that was not the only thing in his life that Satoru was feeling frustrated about… He has a unique supernatural ability of being forced to prevent deaths and catastrophes by being sent back in time before the incident occurred, repeating time until the accident is prevented. One day, he gets involved in an accident that has him framed as a murderer. Desperate to save the victim, he sends "
"100166","Boku no Hero Academia 3","僕のヒーローアカデミア３","TV","MANGA","25","FINISHED","2018-04-07","2018-09-29","7.9","","28","586533","","12213","","24","2018","SPRING","Action, Adventure, Comedy, Drama","bones","https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx100166-jUCZYbzn2XLw.jpg","Summer is here, and the heroes of Class 1-A and 1-B are in for the toughest training camp of their lives! A group of seasoned pros pushes everyone's Quirks to new heights as the students face one overwhelming challenge after another. Braving the elements in this secret location becomes the least of their worries when routine training turns into a critical struggle for survival.<br><br>(Source: Crunchyroll)"
"9253","Steins;Gate","シュタインズ・ゲート","TV","VISUAL_NOVEL","24","FINISHED","2011-04-06","2011-09-14","8.9","","29","577470","","54459","","24","2011","SPRING","Drama, Psychological, Sci-Fi, Thriller","WHITE FOX","https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx9253-tIUXF2gfU8Sg.jpg","Self-proclaimed mad scientist Okabe Rintarou lives in a small room in Akihabara, where he invents ""future gadgets"" with fellow lab members Shiina Mayuri, his air-headed childhood friend, and Hashida Itaru, an otaku hacker. The three pass the time by tinkering with their latest creation, a ""Phone Microwave"" that can be controlled through text messages. 
<br><br>
The lab members soon face a string of mysterious incidents that lead to a game-changing discovery: the Phone Microwave can send emails t"
"20464","Haikyuu!!","ハイキュー!!","TV","MANGA","25","FINISHED","2014-04-06","2014-09-21","8.4","","30","568350","","38872","","24","2014","SPRING","Comedy, Drama, Sports","Production I.G","https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx20464-ooZUyBe4ptp9.png","Inspired after watching a volleyball ace nicknamed ""Little Giant"" in action, small-statured Shouyou Hinata revives the volleyball club at his middle school. The newly-formed team even makes it to a tournament; however, their first match turns out to be their last when they are brutally squashed by the ""King of the Court,"" Tobio Kageyama. Hinata vows to surpass Kageyama, and so after graduating from middle school, he joins Karasuno High School's volleyball team—only to find that his sworn rival, "
"97940","Black Clover","ブラッククローバー","TV","MANGA","170","FINISHED","2017-10-03","2021-03-30","7.9","","31","562087","","31188","","24","2017","FALL","Action, Adventure, Comedy, Fantasy","Studio Pierrot","https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx97940-fyh8o7gNbha0.png","In a world where magic is everything, Asta and Yuno are both found abandoned at a church on the same day. While Yuno is gifted with exceptional magical powers, Asta is the only one in this world without any. At the age of fifteen, both receive grimoires, magic books that amplify their holder’s magic. Asta’s is a rare Grimoire of Anti-Magic that negates and repels his opponent’s spells. Being opposite but good rivals, Yuno and Asta are ready for the hardest of challenges to achieve their common d"
"101291","Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai","青春ブタ野郎はバニーガール先輩の夢を見ない","TV","LIGHT_NOVEL","13","FINISHED","2018-10-04","2018-12-27","8.1","","32","561155","","32154","","25","2018","FALL","Comedy, Drama, Mystery, Psychological, Romance, Supernatural","CloverWorks","https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx101291-wfEdgPqtfU0l.jpg","There's a rumor about a mysterious phenomenon called ""puberty syndrome."" For example, Sakuta Azusagawa is a high school student who suddenly sees a bunny girl appear in front of him. The girl is actually a girl named Mai Sakurajima, who is Sakuta's upperclassman who is also a famous actress who has gone on hiatus from the entertainment industry. For some reason, the people around Mai cannot see her bunny-girl figure. Sakuta sets out to solve this mystery, and as he spends time with Mai, he learn"
"140960","SPY×FAMILY","SPY×FAMILY","TV","MANGA","12","FINISHED","2022-04-09","2022-06-25","8.3","","33","550627","","25511","","24","2022","SPRING","Action, Comedy, Slice of Life, Supernatural","CloverWorks, WIT STUDIO","https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx140960-Kb6R5nYQfjmP.jpg","Everyone has a part of themselves they cannot show to anyone else.
<br><br>
At a time when all nations of the world were involved in a fierce war of information happening behind closed doors, Ostania and Westalis had been in a state of cold war against one another for decades. The Westalis Intelligence Services' Eastern-Focused Division (WISE) sends their most talented spy, ""Twilight,"" on a top-secret mission to investigate the movements of Donovan Desmond, the chairman of Ostania's National Uni"
"101921","Kaguya-sama wa Kokurasetai: Tensaitachi no Renai Zunousen","かぐや様は告らせたい～天才たちの恋愛頭脳戦～","TV","MANGA","12","FINISHED","2019-01-12","2019-03-30","8.3","","34","542166","","29342","","24","2019","WINTER","Comedy, Psychological, Romance, Slice of Life","A-1 Pictures","https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx101921-ufrjLzhSz7L1.jpg","Known for being both brilliant and powerful, Miyuki Shirogane and Kaguya Shinomiya lead the illustrious Shuchiin Academy as near equals. And everyone thinks they’d make a great couple. Pride and arrogance are in ample supply, so the only logical move is to trick the other into instigating a date! Who will come out on top in this psychological war where the first move is the only one that matters?
<br><br>
(Source: Aniplex)"
"105333","Dr. STONE","Dr.STONE","TV","MANGA","24","FINISHED","2019-07-05","2019-12-13","8.1","","35","538520","","25038","","24","2019","SUMMER","Action, Adventure, Comedy, Sci-Fi","TMS Entertainment","https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx105333-GybuoSoOZfpH.jpg","After five years of harboring unspoken feelings, high-schooler Taiju Ooki is finally ready to confess his love to Yuzuriha Ogawa. Just when Taiju begins his confession however, a blinding green light strikes the Earth and petrifies mankind around the world— turning every single human into stone.
<br><br>
Several millennia later, Taiju awakens to find the modern world completely nonexistent, as nature has flourished in the years humanity stood still. Among a stone world of statues, Taiju encounte"
"21827","Violet Evergarden","ヴァイオレット・エヴァーガーデン","TV","LIGHT_NOVEL","13","FINISHED","2018-01-11","2018-04-05","8.5","","36","531905","","37984","","24","2018","WINTER","Drama, Fantasy, Slice of Life","Kyoto Animation","https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx21827-ubzq619ZA2E9.png","A certain point in time, in the continent of Telesis. The great war which divided the continent into North and South has ended after four years, and the people are welcoming a new generation. Violet Evergarden, a young girl formerly known as “the weapon”, has left the battlefield to start a new life at CH Postal Service. There, she is deeply moved by the work of “Auto Memories Dolls”, who carry people's thoughts and convert them into words. Violet begins her journey as an Auto Memories Doll, and"
"19815","No Game No Life","ノーゲーム・ノーライフ","TV","LIGHT_NOVEL","12","FINISHED","2014-04-09","2014-06-25","7.7","","37","529352","","19768","","24","2014","SPRING","Adventure, Comedy, Ecchi, Fantasy","MADHOUSE","https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b19815-sEOQ9yQaPKlk.jpg","Bored with life and considering the real world to be just a “crappy game,” savvy sibling shut-ins Sora and Shiro have withdrawn into their own fantasy world filled with video games. 
<br><br>
However, one day they find themselves summoned to another world by a boy who calls himself “God,” their abilities are about to be put to the ultimate test! Now not only their fates — but the fate of all of humanity — will be decided by a series of games that may just be the hardest these super-geniuses have"
